ImprisonRef,ImprisonSystemId,ImprisonID,Trialref,CentralTrialImprison,Imprisondate,Imprisondate_as_date,Prison,Location,Moving,Fate_in_prison,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"IM_JO_145","JO",145,"T_LA_238",0,"3_1617","03_01_17_00:00:00",,,0,,"jhm","07_23_01_15:11:16","jhm","07_23_01_15:11:20"
"IM_JO_146","JO",146,"T_JO_513",0,,,,,0,,"jhm","07_24_01_10:24:22","jhm","10_11_02_16:52:45"
"IM_JO_147","JO",147,"T_JO_515",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_12:28:57","jhm","07_24_01_12:36:55"
"IM_JO_148","JO",148,"T_JO_517",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_12:57:40","jhm","07_24_01_12:57:51"
"IM_JO_149","JO",149,"T_JO_518",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:03:20","jhm","07_24_01_13:03:31"
"IM_JO_15","JO",15,"T_JO_86",0,"1_4_1630","04_01_30_00:00:00","Tolbooth","Haddington",0,,"jhm","06_12_01_09:44:21","jhm","06_12_01_09:44:44"
"IM_JO_150","JO",150,"T_JO_519",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:08:29","jhm","07_24_01_13:08:41"
"IM_JO_151","JO",151,"T_JO_520",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:12:57","jhm","07_24_01_13:13:11"
"IM_JO_152","JO",152,"T_JO_521",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:16:13","jhm","07_24_01_13:16:21"
"IM_JO_153","JO",153,"T_JO_522",0,"12_1643","12_01_43_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_13:21:13","jhm","07_24_01_13:21:22"
"IM_JO_154","JO",154,"T_JO_523",0,"3_1644","03_01_44_00:00:00","Tolbooth","Queensferry",0,,"jhm","07_24_01_14:34:40","jhm","07_24_01_14:34:53"
"IM_JO_155","JO",155,"T_JO_529",0,,,,"Falkirk",0,,"jhm","07_24_01_15:31:02","jhm","10_11_02_16:53:10"
"IM_JO_156","JO",156,"T_JO_539",0,"1_4_1644","04_01_44_00:00:00","Tolbooth","Queensferry",0,"Released","jhm","07_26_01_15:06:30","jhm","07_26_01_15:23:45"
"IM_JO_157","JO",157,"T_JO_573",0,,,,"Peebles",0,,"jhm","07_30_01_11:38:56","jhm","10_11_02_16:53:29"
"IM_JO_158","JO",158,"T_JO_574",0,"17_5_1649","05_17_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_12:07:08","jhm","07_31_01_12:07:28"
"IM_JO_159","JO",159,"T_JO_575",0,"6_1649","06_01_49_00:00:00",,"Peebles",0,,"jhm","07_31_01_12:40:35","jhm","08_02_01_14:04:28"
"IM_JO_16","JO",16,"T_JO_87",0,"4_1630","04_01_30_00:00:00","Tolbooth","Haddington",0,,"jhm","06_12_01_10:03:53","jhm","06_12_01_10:04:08"
