Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date_Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P_ST_1216",1216,"ST","Meigle","MEI",1216,"South_of_Forth","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1217",1217,"ST","Meldrum","MEL",1217,"Garioch","Buchan",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1218",1218,"ST","Menmuir","MEN",1218,"South_of_Forth","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1219",1219,"ST","Mertoun","MER",1219,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1220",1220,"ST","Methlick","MET",1220,"Garioch","Buchan",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1221",1221,"ST","Methven","MEV",1221,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1222",1222,"ST","Methil","MEX",1222,"Merse","Fothriff",,,"NO",359,6,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1223",1223,"ST","Moncreiffe","MFX",1223,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1224",1224,"ST","Minigaff","MGF",1224,"Rhinns","Desnes",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1225",1225,"ST","Minginish","MGX",1225,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1226",1226,"ST","Morham","MHM",1226,"Merse","Haddington",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1227",1227,"ST","Meathie-Lour","MHX",1227,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1228",1228,"ST","Mains","MIX",1228,"Merse","Angus",,,"NO",,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1229",1229,"ST","Monkegie","MKX",1229,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1230",1230,"ST","Middlebie","MLB",1230,"Teviotdale","Annadale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
