CommissionRef,CommissionSystemId,CommissionID,Trialref,Commbody,Commtype,Commexists,Commdate,Commdate_as_date,Seal,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CO_LA_67","LA",67,"T_LA_86","Privy_Council","Interrogation_and_Arrest",1,"12_11_1629","11_12_29_00:00:00",,,"LEM","06_13_01_10:59:33","LEM","06_13_01_10:59:56"
"CO_LA_68","LA",68,"T_LA_87","Privy_Council","Interrogation_and_Arrest",1,"12_11_1629","11_12_29_00:00:00",,,"LEM","06_13_01_11:50:40","LEM","06_13_01_11:50:54"
"CO_LA_69","LA",69,"T_LA_87","Privy_Council","Suspension_of_Justiciary",1,"16_11_1629","11_16_29_00:00:00",,"released_from_prison_and_cleared,_but_ordered_to_be_available_for_further_questioning_if_need_be,_under_caution_for_2000merks.","LEM","06_13_01_11:53:22","LEM","10_29_02_16:21:55"
"CO_LA_7","LA",7,"T_LA_27","Royal_Commision_-_Unknown_Origin",,1,"23_10_1632","10_23_32_00:00:00","Signet","Order_for_him_to_stand_trial_on_11_1_1633.__He_didn't_show_for_his_trial.","LEM","05_21_01_15:55:48","LEM","05_21_01_15:56:37"
"CO_LA_70","LA",70,"T_LA_86","Privy_Council","Suspension_of_Justiciary",1,"16_11_1629","11_16_29_00:00:00",,"released_from_prison_and_cleared,_but_ordered_to_be_available_for_further_questioning_if_need_be._To_pay_2000merks","LEM","06_13_01_11:56:53","jhm","10_02_02_12:36:38"
"CO_LA_71","LA",71,"T_LA_88","Privy_Council","Arrest",1,"17_12_1629","12_17_29_00:00:00",,"Bretheren_of_the_presbytery_of_Dalkeith_need_him_to_be_warded_in_Edinburgh_because_they_don't_have_enough_people_to_guard_him_properly.","LEM","06_13_01_12:05:31","jhm","10_21_02_15:46:39"
"CO_LA_72","LA",72,"T_LA_90","Privy_Council","Justiciary",1,,,,"An_old_one_was_mentioned.","LEM","06_13_01_13:40:20","jhm","11_06_02_11:40:11"
"CO_LA_73","LA",73,"T_LA_90","Privy_Council","Suspension_of_Justiciary",1,"4_6_1589","06_04_89_00:00:00",,"Ordered_local_trials_to_stop.","LEM","06_13_01_13:40:42","jhm","11_06_02_11:41:12"
"CO_LA_74","LA",74,"T_LA_24","Privy_Council","Arrest",1,"7_1_1630","01_07_30_00:00:00",,,"LEM","06_14_01_13:56:26","LEM","06_14_01_13:56:38"
"CO_LA_75","LA",75,"T_LA_24","Privy_Council","Arrest",1,"5_2_1630","02_05_30_00:00:00",,,"LEM","06_14_01_14:01:31","LEM","06_14_01_14:02:04"
